nome,imandato,fmandato,cargo
Floriano Vieira Peixoto,1889-11-15,1891-11-23,vice-presidente
Manuel Vitorino Pereira,1894-11-15,1956-01-31,vice-presidente
Francisco de Assis Rosa e Silva,1898-11-15,1967-03-15,vice-presidente
Francisco Silviano de Almeida Brandão,1902-11-15,1969-08-31,vice-presidente
Nilo Procópio Peçanha,1906-11-15,1974-03-15,vice-presidente
Venceslau Brás Pereira Gomes,1910-11-15,1979-03-15,vice-presidente
Urbano Santos da Costa Araújo,1914-11-15,1898-11-15,vice-presidente
Francisco Álvaro Bueno de Paiva,1919-07-28,1919-07-28,vice-presidente
Estácio de Albuquerque Coimbra,1922-11-15,1922-11-15,vice-presidente
Fernando de Melo Viana,1926-11-15,1926-11-15,vice-presidente
Nereu de Oliveira Ramos,1946-01-31,1930-10-24,vice-presidente
João Fernandes Campos Café Filho,1951-01-31,1945-10-29,vice-presidente
João Belchior Marques Goulart,1956-01-31,1946-01-31,vice-presidente
João Belchior Marques Goulart,1961-01-31,1951-01-31,vice-presidente
José Maria Alkimim,1964-04-15,1954-08-24,vice-presidente
Pedro Aleixo,1967-03-15,1955-11-08,vice-presidente
Augusto Hamann Rademaker Grünewald,1969-10-30,1955-11-11,vice-presidente
Adalberto Pereira dos Santos,1974-03-15,1894-11-15,vice-presidente
Antônio Aureliano Chaves de Mendonça,1979-03-15,1961-01-31,vice-presidente
Itamar Augusto Cautiero Franco,1990-03-15,1961-08-25,vice-presidente
Marco Antônio de Oliveira Maciel,1995-01-01,1961-09-07,vice-presidente
José Alencar Gomes da Silva,2003-01-01,1964-04-02,vice-presidente
Michel Miguel Elias Temer Lulia,2011-01-01,1964-04-15,vice-presidente
