id	char	class	unicode_bytes
0	🐖	main_component	"b'\\U0001f416'"
1	🗒	main_component	"b'\\U0001f5d2'"
2	🥀	main_component	"b'\\U0001f940'"
3	📹	main_component	"b'\\U0001f4f9'"
4	🚪	main_component	"b'\\U0001f6aa'"
5	⛲	main_component	"b'\\u26f2'"
6	🍦	main_component	"b'\\U0001f366'"
7	👾	main_component	"b'\\U0001f47e'"
8	🛌	main_component	"b'\\U0001f6cc'"
9	🔼	main_component	"b'\\U0001f53c'"
10	⛽	main_component	"b'\\u26fd'"
11	🏊	main_component	"b'\\U0001f3ca'"
12	📦	main_component	"b'\\U0001f4e6'"
13	😊	main_component	"b'\\U0001f60a'"
14	👌	main_component	"b'\\U0001f44c'"
15	㊗	main_component	"b'\\u3297'"
16	🏥	main_component	"b'\\U0001f3e5'"
17	🧼	main_component	"b'\\U0001f9fc'"
18	🏏	main_component	"b'\\U0001f3cf'"
19	3	main_component	b'3'
20	📉	main_component	"b'\\U0001f4c9'"
21	💚	main_component	"b'\\U0001f49a'"
22	✏	main_component	"b'\\u270f'"
23	🏭	main_component	"b'\\U0001f3ed'"
24	☃	main_component	"b'\\u2603'"
25	🔜	main_component	"b'\\U0001f51c'"
26	1	main_component	b'1'
27	🍭	main_component	"b'\\U0001f36d'"
28	👵	main_component	"b'\\U0001f475'"
29	📭	main_component	"b'\\U0001f4ed'"
30	👣	main_component	"b'\\U0001f463'"
31	📶	main_component	"b'\\U0001f4f6'"
32	❤	main_component	"b'\\u2764'"
33	😄	main_component	"b'\\U0001f604'"
34	🏌	main_component	"b'\\U0001f3cc'"
35	📎	main_component	"b'\\U0001f4ce'"
36	🤷	main_component	"b'\\U0001f937'"
37	🍙	main_component	"b'\\U0001f359'"
38	🙃	main_component	"b'\\U0001f643'"
39	🔣	main_component	"b'\\U0001f523'"
40	🔵	main_component	"b'\\U0001f535'"
41	🤥	main_component	"b'\\U0001f925'"
42	🖖	main_component	"b'\\U0001f596'"
43	🌑	main_component	"b'\\U0001f311'"
44	🍘	main_component	"b'\\U0001f358'"
45	🐸	main_component	"b'\\U0001f438'"
46	🥳	main_component	"b'\\U0001f973'"
47	🍈	main_component	"b'\\U0001f348'"
48	🧗	main_component	"b'\\U0001f9d7'"
49	❄	main_component	"b'\\u2744'"
50	🚷	main_component	"b'\\U0001f6b7'"
51	〽	main_component	"b'\\u303d'"
52	🦂	main_component	"b'\\U0001f982'"
53	🍊	main_component	"b'\\U0001f34a'"
54	💂	main_component	"b'\\U0001f482'"
55	💶	main_component	"b'\\U0001f4b6'"
56	✊	main_component	"b'\\u270a'"
57	🎣	main_component	"b'\\U0001f3a3'"
58	🍞	main_component	"b'\\U0001f35e'"
59	🧥	main_component	"b'\\U0001f9e5'"
60	☢	main_component	"b'\\u2622'"
61	4	main_component	b'4'
62	❎	main_component	"b'\\u274e'"
63	🍂	main_component	"b'\\U0001f342'"
64	🏠	main_component	"b'\\U0001f3e0'"
65	🌩	main_component	"b'\\U0001f329'"
66	⏸	main_component	"b'\\u23f8'"
67	📳	main_component	"b'\\U0001f4f3'"
68	🆑	main_component	"b'\\U0001f191'"
69	😎	main_component	"b'\\U0001f60e'"
70	🐊	main_component	"b'\\U0001f40a'"
71	🐫	main_component	"b'\\U0001f42b'"
72	😒	main_component	"b'\\U0001f612'"
73	⁉	main_component	"b'\\u2049'"
74	👦	main_component	"b'\\U0001f466'"
75	♟	main_component	"b'\\u265f'"
76	📥	main_component	"b'\\U0001f4e5'"
77	❇	main_component	"b'\\u2747'"
78	🛃	main_component	"b'\\U0001f6c3'"
79	🗞	main_component	"b'\\U0001f5de'"
80	😔	main_component	"b'\\U0001f614'"
81	🍚	main_component	"b'\\U0001f35a'"
82	🧂	main_component	"b'\\U0001f9c2'"
83	🕋	main_component	"b'\\U0001f54b'"
84	🦱	main_component	"b'\\U0001f9b1'"
85	🦕	main_component	"b'\\U0001f995'"
86	♦	main_component	"b'\\u2666'"
87	🕙	main_component	"b'\\U0001f559'"
88	🌅	main_component	"b'\\U0001f305'"
89	🦟	main_component	"b'\\U0001f99f'"
90	🧤	main_component	"b'\\U0001f9e4'"
91	💊	main_component	"b'\\U0001f48a'"
92	🆓	main_component	"b'\\U0001f193'"
93	🚑	main_component	"b'\\U0001f691'"
94	📚	main_component	"b'\\U0001f4da'"
95	🚮	main_component	"b'\\U0001f6ae'"
96	🤰	main_component	"b'\\U0001f930'"
97	😙	main_component	"b'\\U0001f619'"
98	😞	main_component	"b'\\U0001f61e'"
99	2	main_component	b'2'
100	🍁	main_component	"b'\\U0001f341'"
101	🏓	main_component	"b'\\U0001f3d3'"
102	🍤	main_component	"b'\\U0001f364'"
103	👖	main_component	"b'\\U0001f456'"
104	⛏	main_component	"b'\\u26cf'"
105	✈	main_component	"b'\\u2708'"
106	◾	main_component	"b'\\u25fe'"
107	👞	main_component	"b'\\U0001f45e'"
108	📤	main_component	"b'\\U0001f4e4'"
109	💼	main_component	"b'\\U0001f4bc'"
110	💴	main_component	"b'\\U0001f4b4'"
111	💩	main_component	"b'\\U0001f4a9'"
