apartment
apt
bld
bldg
bulding
ct
concourse
drawer
esp
fl
flr
floor
lbby
lobby
loop
lot
no
number
office
ph
pmb
rm
ro
rr
room
section
side
site
sp
spc
std
ste
stores
studio
suie
suit
suire
suite
suitte
sutie
wsuite
trlr
unit
units
unt
