aly
anx
arc
ave
bch
blf
blvd
bnd
br
brg
brk
bsmt
bsmt
byp
byu
cent
cir
clb
cmn
cor
cp
cpe
cr
crk
crse
cswy
ct
ctr
cts
cv
cyn
dam
dept
dm
dr
dv
est
expy
ext
fld
flds
fls
flt
flt
frd
frg
frk
frnt
frst
fry
fwy
gate
gdns
gln
grn
grv
gtwy
hbr
hill
hl
hl
hls
hngr
holw
holw
hts
hvn
hwy
inlt
is
jct
knls
ky
lbby
lcks
ldg
lf
lgt
lk
lks
ln
lndg
lowr
pk
pkw
pkwy
pky
pl
plc
plz
pt
rd
rdg
rm
row
rpds
rt
shls
shls
shr
shrs
smt
spc
spg
spgs
sq
st
std
strm
ter
termin
tpk
tpke
trak
trce
trl
trl
trlr
vis
vlg
wls
wls
xing
